DATE,PCEPI
1959-01-01,17.124
1959-02-01,17.138
1959-03-01,17.149
1959-04-01,17.183
1959-05-01,17.191
1959-06-01,17.240
1959-07-01,17.275
1959-08-01,17.300
1959-09-01,17.345
1959-10-01,17.387
1959-11-01,17.398
1959-12-01,17.418
1960-01-01,17.410
1960-02-01,17.427
1960-03-01,17.437
1960-04-01,17.501
1960-05-01,17.519
1960-06-01,17.527
1960-07-01,17.559
1960-08-01,17.589
1960-09-01,17.600
1960-10-01,17.620
1960-11-01,17.680
1960-12-01,17.684
1961-01-01,17.686
1961-02-01,17.703
1961-03-01,17.693
1961-04-01,17.683
1961-05-01,17.693
1961-06-01,17.702
1961-07-01,17.740
1961-08-01,17.755
1961-09-01,17.776
1961-10-01,17.774
1961-11-01,17.776
1961-12-01,17.781
1962-01-01,17.816
1962-02-01,17.864
1962-03-01,17.887
1962-04-01,17.907
1962-05-01,17.918
1962-06-01,17.929
1962-07-01,17.919
1962-08-01,17.944
1962-09-01,18.031
1962-10-01,18.011
1962-11-01,18.025
1962-12-01,18.018
1963-01-01,18.063
1963-02-01,18.080
1963-03-01,18.065
1963-04-01,18.063
1963-05-01,18.091
1963-06-01,18.131
1963-07-01,18.166
1963-08-01,18.190
1963-09-01,18.187
1963-10-01,18.222
1963-11-01,18.248
1963-12-01,18.276
1964-01-01,18.314
1964-02-01,18.342
1964-03-01,18.353
1964-04-01,18.368
1964-05-01,18.370
1964-06-01,18.397
1964-07-01,18.421
1964-08-01,18.436
1964-09-01,18.464
1964-10-01,18.477
1964-11-01,18.502
1964-12-01,18.529
1965-01-01,18.549
1965-02-01,18.556
1965-03-01,18.580
1965-04-01,18.609
1965-05-01,18.651
1965-06-01,18.705
1965-07-01,18.719
1965-08-01,18.723
1965-09-01,18.731
1965-10-01,18.738
1965-11-01,18.769
1965-12-01,18.838
1966-01-01,18.860
1966-02-01,18.938
1966-03-01,18.985
1966-04-01,19.051
1966-05-01,19.075
1966-06-01,19.123
1966-07-01,19.160
1966-08-01,19.234
1966-09-01,19.295
1966-10-01,19.346
1966-11-01,19.375
1966-12-01,19.415
1967-01-01,19.417
1967-02-01,19.440
1967-03-01,19.450
1967-04-01,19.482
1967-05-01,19.520
1967-06-01,19.582
1967-07-01,19.647
1967-08-01,19.709
1967-09-01,19.768
1967-10-01,19.823
1967-11-01,19.888
1967-12-01,19.919
1968-01-01,20.011
1968-02-01,20.092
1968-03-01,20.157
1968-04-01,20.220
1968-05-01,20.295
1968-06-01,20.359
1968-07-01,20.422
1968-08-01,20.505
1968-09-01,20.577
1968-10-01,20.668
1968-11-01,20.738
1968-12-01,20.782
1969-01-01,20.864
1969-02-01,20.918
1969-03-01,21.017
1969-04-01,21.110
1969-05-01,21.195
1969-06-01,21.298
1969-07-01,21.392
1969-08-01,21.452
1969-09-01,21.541
1969-10-01,21.615
1969-11-01,21.708
1969-12-01,21.808
1970-01-01,21.885
1970-02-01,21.973
1970-03-01,22.027
1970-04-01,22.139
1970-05-01,22.209
1970-06-01,22.267
1970-07-01,22.348
1970-08-01,22.407
1970-09-01,22.508
1970-10-01,22.619
1970-11-01,22.708
1970-12-01,22.809
1971-01-01,22.857
1971-02-01,22.924
1971-03-01,23.001
1971-04-01,23.090
1971-05-01,23.187
1971-06-01,23.289
1971-07-01,23.360
1971-08-01,23.428
1971-09-01,23.463
1971-10-01,23.499
1971-11-01,23.548
1971-12-01,23.641
1972-01-01,23.738
1972-02-01,23.832
1972-03-01,23.866
1972-04-01,23.903
1972-05-01,23.955
1972-06-01,23.992
1972-07-01,24.078
1972-08-01,24.148
1972-09-01,24.256
1972-10-01,24.283
1972-11-01,24.356
1972-12-01,24.434
1973-01-01,24.508
1973-02-01,24.637
1973-03-01,24.812
1973-04-01,24.997
1973-05-01,25.120
1973-06-01,25.263
1973-07-01,25.355
1973-08-01,25.647
1973-09-01,25.750
1973-10-01,25.895
1973-11-01,26.107
1973-12-01,26.322
1974-01-01,26.574
1974-02-01,26.883
1974-03-01,27.195
1974-04-01,27.387
1974-05-01,27.657
1974-06-01,27.891
1974-07-01,28.098
1974-08-01,28.391
1974-09-01,28.687
1974-10-01,28.893
1974-11-01,29.110
1974-12-01,29.341
1975-01-01,29.523
1975-02-01,29.684
1975-03-01,29.786
1975-04-01,29.887
1975-05-01,30.007
1975-06-01,30.195
1975-07-01,30.454
1975-08-01,30.586
1975-09-01,30.737
1975-10-01,30.916
1975-11-01,31.114
1975-12-01,31.286
1976-01-01,31.406
1976-02-01,31.447
1976-03-01,31.494
1976-04-01,31.565
1976-05-01,31.716
1976-06-01,31.853
1976-07-01,32.014
1976-08-01,32.190
1976-09-01,32.371
1976-10-01,32.541
1976-11-01,32.688
1976-12-01,32.870
1977-01-01,33.058
1977-02-01,33.316
1977-03-01,33.482
1977-04-01,33.678
1977-05-01,33.849
1977-06-01,34.038
1977-07-01,34.216
1977-08-01,34.376
1977-09-01,34.507
1977-10-01,34.668
1977-11-01,34.869
1977-12-01,35.040
1978-01-01,35.251
1978-02-01,35.417
1978-03-01,35.649
1978-04-01,35.919
1978-05-01,36.177
1978-06-01,36.413
1978-07-01,36.613
1978-08-01,36.798
1978-09-01,37.008
1978-10-01,37.302
1978-11-01,37.514
1978-12-01,37.689
1979-01-01,37.971
1979-02-01,38.173
1979-03-01,38.470
1979-04-01,38.871
1979-05-01,39.272
1979-06-01,39.595
1979-07-01,39.895
1979-08-01,40.200
1979-09-01,40.554
1979-10-01,40.884
1979-11-01,41.167
1979-12-01,41.512
1980-01-01,41.944
1980-02-01,42.398
1980-03-01,42.916
1980-04-01,43.141
1980-05-01,43.476
1980-06-01,43.750
1980-07-01,44.088
1980-08-01,44.455
1980-09-01,44.866
1980-10-01,45.224
1980-11-01,45.592
1980-12-01,45.887
1981-01-01,46.329
1981-02-01,46.797
1981-03-01,47.122
1981-04-01,47.326
1981-05-01,47.537
1981-06-01,47.725
1981-07-01,48.013
1981-08-01,48.311
1981-09-01,48.602
1981-10-01,48.821
1981-11-01,49.081
1981-12-01,49.230
1982-01-01,49.520
1982-02-01,49.668
1982-03-01,49.793
1982-04-01,49.818
1982-05-01,50.112
1982-06-01,50.474
1982-07-01,50.773
1982-08-01,50.930
1982-09-01,51.072
1982-10-01,51.359
1982-11-01,51.516
1982-12-01,51.598
1983-01-01,51.852
1983-02-01,51.943
1983-03-01,52.014
1983-04-01,52.251
1983-05-01,52.400
1983-06-01,52.596
1983-07-01,52.893
1983-08-01,53.120
1983-09-01,53.306
1983-10-01,53.398
1983-11-01,53.474
1983-12-01,53.503
1984-01-01,53.734
1984-02-01,54.095
1984-03-01,54.273
1984-04-01,54.479
1984-05-01,54.548
1984-06-01,54.647
1984-07-01,54.842
1984-08-01,55.012
1984-09-01,55.088
1984-10-01,55.218
1984-11-01,55.297
1984-12-01,55.454
1985-01-01,55.732
1985-02-01,55.998
1985-03-01,56.224
1985-04-01,56.310
1985-05-01,56.450
1985-06-01,56.609
1985-07-01,56.749
1985-08-01,56.938
1985-09-01,57.032
1985-10-01,57.124
1985-11-01,57.286
1985-12-01,57.479
1986-01-01,57.748
1986-02-01,57.750
1986-03-01,57.622
1986-04-01,57.500
1986-05-01,57.601
1986-06-01,57.810
1986-07-01,57.822
1986-08-01,57.891
1986-09-01,58.077
1986-10-01,58.180
1986-11-01,58.283
1986-12-01,58.361
1987-01-01,58.628
1987-02-01,58.838
1987-03-01,58.997
1987-04-01,59.209
1987-05-01,59.356
1987-06-01,59.576
1987-07-01,59.713
1987-08-01,59.948
1987-09-01,60.151
1987-10-01,60.348
1987-11-01,60.465
1987-12-01,60.576
1988-01-01,60.805
1988-02-01,60.893
1988-03-01,61.103
1988-04-01,61.401
1988-05-01,61.580
1988-06-01,61.841
1988-07-01,62.142
1988-08-01,62.325
1988-09-01,62.630
1988-10-01,62.831
1988-11-01,62.975
1988-12-01,63.165
1989-01-01,63.482
1989-02-01,63.686
1989-03-01,63.919
1989-04-01,64.341
1989-05-01,64.575
1989-06-01,64.713
1989-07-01,64.860
1989-08-01,64.864
1989-09-01,65.006
1989-10-01,65.261
1989-11-01,65.401
1989-12-01,65.589
1990-01-01,66.077
1990-02-01,66.365
1990-03-01,66.608
1990-04-01,66.752
1990-05-01,66.896
1990-06-01,67.191
1990-07-01,67.348
1990-08-01,67.797
1990-09-01,68.215
1990-10-01,68.602
1990-11-01,68.685
1990-12-01,68.741
1991-01-01,68.996
1991-02-01,69.021
1991-03-01,69.032
1991-04-01,69.154
1991-05-01,69.440
1991-06-01,69.557
1991-07-01,69.667
1991-08-01,69.827
1991-09-01,70.067
1991-10-01,70.197
1991-11-01,70.348
1991-12-01,70.520
1992-01-01,70.613
1992-02-01,70.789
1992-03-01,70.962
1992-04-01,71.153
1992-05-01,71.248
1992-06-01,71.374
1992-07-01,71.609
1992-08-01,71.704
1992-09-01,71.823
1992-10-01,72.078
1992-11-01,72.223
1992-12-01,72.350
1993-01-01,72.524
1993-02-01,72.633
1993-03-01,72.781
1993-04-01,72.977
1993-05-01,73.203
1993-06-01,73.229
1993-07-01,73.345
1993-08-01,73.471
1993-09-01,73.550
1993-10-01,73.780
1993-11-01,73.917
1993-12-01,73.934
1994-01-01,73.958
1994-02-01,74.127
1994-03-01,74.333
1994-04-01,74.420
1994-05-01,74.528
1994-06-01,74.708
1994-07-01,74.944
1994-08-01,75.111
1994-09-01,75.195
1994-10-01,75.322
1994-11-01,75.469
1994-12-01,75.519
1995-01-01,75.667
1995-02-01,75.795
1995-03-01,75.931
1995-04-01,76.128
1995-05-01,76.240
1995-06-01,76.309
1995-07-01,76.404
1995-08-01,76.568
1995-09-01,76.621
1995-10-01,76.818
1995-11-01,76.819
1995-12-01,76.968
1996-01-01,77.143
1996-02-01,77.263
1996-03-01,77.492
1996-04-01,77.721
1996-05-01,77.854
1996-06-01,77.854
1996-07-01,78.020
1996-08-01,78.097
1996-09-01,78.310
1996-10-01,78.544
1996-11-01,78.689
1996-12-01,78.780
1997-01-01,78.881
1997-02-01,79.045
1997-03-01,79.126
1997-04-01,79.200
1997-05-01,79.169
1997-06-01,79.268
1997-07-01,79.312
1997-08-01,79.377
1997-09-01,79.557
1997-10-01,79.660
1997-11-01,79.670
1997-12-01,79.657
1998-01-01,79.688
1998-02-01,79.639
1998-03-01,79.645
1998-04-01,79.746
1998-05-01,79.858
1998-06-01,79.794
1998-07-01,79.986
1998-08-01,80.095
1998-09-01,80.044
1998-10-01,80.215
1998-11-01,80.217
1998-12-01,80.302
1999-01-01,80.448
1999-02-01,80.428
1999-03-01,80.484
1999-04-01,80.856
1999-05-01,80.889
1999-06-01,80.906
1999-07-01,81.120
1999-08-01,81.263
1999-09-01,81.547
1999-10-01,81.677
1999-11-01,81.749
1999-12-01,81.951
2000-01-01,82.186
2000-02-01,82.445
2000-03-01,82.797
2000-04-01,82.720
2000-05-01,82.784
2000-06-01,83.056
2000-07-01,83.256
2000-08-01,83.243
2000-09-01,83.604
2000-10-01,83.718
2000-11-01,83.830
2000-12-01,83.938
2001-01-01,84.311
2001-02-01,84.424
2001-03-01,84.427
2001-04-01,84.584
2001-05-01,84.814
2001-06-01,84.974
2001-07-01,84.949
2001-08-01,84.946
2001-09-01,84.670
2001-10-01,84.978
2001-11-01,84.921
2001-12-01,84.833
2002-01-01,84.893
2002-02-01,85.035
2002-03-01,85.272
2002-04-01,85.640
2002-05-01,85.709
2002-06-01,85.818
2002-07-01,85.996
2002-08-01,86.161
2002-09-01,86.308
2002-10-01,86.469
2002-11-01,86.555
2002-12-01,86.625
2003-01-01,86.853
2003-02-01,87.209
2003-03-01,87.421
2003-04-01,87.271
2003-05-01,87.170
2003-06-01,87.265
2003-07-01,87.502
2003-08-01,87.778
2003-09-01,88.026
2003-10-01,87.998
2003-11-01,88.089
2003-12-01,88.286
2004-01-01,88.606
2004-02-01,88.815
2004-03-01,88.969
2004-04-01,89.123
2004-05-01,89.426
2004-06-01,89.715
2004-07-01,89.834
2004-08-01,89.908
2004-09-01,90.083
2004-10-01,90.430
2004-11-01,90.734
2004-12-01,90.793
2005-01-01,90.854
2005-02-01,91.120
2005-03-01,91.392
2005-04-01,91.655
2005-05-01,91.738
2005-06-01,91.792
2005-07-01,92.181
2005-08-01,92.563
2005-09-01,93.458
2005-10-01,93.594
2005-11-01,93.381
2005-12-01,93.400
2006-01-01,93.811
2006-02-01,93.852
2006-03-01,94.007
2006-04-01,94.398
2006-05-01,94.609
2006-06-01,94.832
2006-07-01,95.167
2006-08-01,95.467
2006-09-01,95.232
2006-10-01,94.979
2006-11-01,95.004
2006-12-01,95.393
2007-01-01,95.689
2007-02-01,96.005
2007-03-01,96.340
2007-04-01,96.527
2007-05-01,96.798
2007-06-01,96.997
2007-07-01,97.141
2007-08-01,97.225
2007-09-01,97.601
2007-10-01,97.883
2007-11-01,98.373
2007-12-01,98.638
2008-01-01,98.894
2008-02-01,99.110
2008-03-01,99.416
2008-04-01,99.654
2008-05-01,100.091
2008-06-01,100.786
2008-07-01,101.218
2008-08-01,101.135
2008-09-01,101.236
2008-10-01,100.684
2008-11-01,99.545
2008-12-01,99.007
2009-01-01,99.068
2009-02-01,99.284
2009-03-01,99.193
2009-04-01,99.340
2009-05-01,99.474
2009-06-01,100.067
2009-07-01,100.020
2009-08-01,100.288
2009-09-01,100.454
2009-10-01,100.764
2009-11-01,100.997
2009-12-01,101.052
2010-01-01,101.234
2010-02-01,101.248
2010-03-01,101.363
2010-04-01,101.349
2010-05-01,101.392
2010-06-01,101.447
2010-07-01,101.569
2010-08-01,101.713
2010-09-01,101.807
2010-10-01,102.045
2010-11-01,102.211
2010-12-01,102.455
2011-01-01,102.685
2011-02-01,102.966
2011-03-01,103.356
2011-04-01,103.808
2011-05-01,104.144
2011-06-01,104.179
2011-07-01,104.380
2011-08-01,104.618
2011-09-01,104.787
2011-10-01,104.851
2011-11-01,104.999
2011-12-01,105.018
2012-01-01,105.325
2012-02-01,105.560
2012-03-01,105.804
2012-04-01,105.943
2012-05-01,105.868
2012-06-01,105.844
2012-07-01,105.880
2012-08-01,106.238
2012-09-01,106.576
2012-10-01,106.886
2012-11-01,106.768
2012-12-01,106.758
2013-01-01,106.956
2013-02-01,107.365
2013-03-01,107.232
2013-04-01,107.138
2013-05-01,107.185
2013-06-01,107.366
2013-07-01,107.480
2013-08-01,107.633
2013-09-01,107.762
2013-10-01,107.914
2013-11-01,108.078
2013-12-01,108.275
2014-01-01,108.518
2014-02-01,108.582
2014-03-01,108.764
2014-04-01,109.005
2014-05-01,109.151
2014-06-01,109.243
2014-07-01,109.390
2014-08-01,109.378
2014-09-01,109.506
2014-10-01,109.541
2014-11-01,109.468
2014-12-01,109.255
2015-01-01,108.802
2015-02-01,108.972
2015-03-01,109.162
2015-04-01,109.252
2015-05-01,109.494
2015-06-01,109.670
2015-07-01,109.789
2015-08-01,109.799
2015-09-01,109.764
2015-10-01,109.845
2015-11-01,109.961
2015-12-01,109.871
2016-01-01,109.999
2016-02-01,109.917
2016-03-01,109.991
2016-04-01,110.351
2016-05-01,110.540
2016-06-01,110.666
2016-07-01,110.725
2016-08-01,110.902
2016-09-01,111.135
2016-10-01,111.348
2016-11-01,111.411
2016-12-01,111.598
2017-01-01,112.082
